model,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,cv_pr_auc_std
logit,0.8469108192042973,0.04643418163047572,0.6594106555440591,0.10612713462248664
gbm,0.798531550183724,0.033517622933174,0.5480115927224908,0.049744674474808355
