lever,treated_value,treated_share,ate_causal_forest,spearman_rho_risk_uplift,top_decile_overlap,risk_targeting_efficiency,risk_top_share_not_treated,cross_lever_rho,cross_lever_top_decile_overlap
OverTime,Yes,0.25271739130434784,0.18533476627724313,0.5347695578010158,0.2702702702702703,0.7418233858827102,0.3783783783783784,0.7059929611853872,0.5675675675675675
BusinessTravel,Travel_Frequently,0.1875,0.10637333322397023,0.5500407900655242,0.21621621621621623,0.6854020781211024,0.7027027027027026,0.7059929611853872,0.5675675675675675
